County,pres16,suprm17,suprr17,pres20,audgen20,suprm21,suprr21
ADAMS,-0.3769335261382061,-0.43275222292235527,-0.2727946627131208,-0.3465996770141755,-0.400812316992538,-0.2981530343007916,-0.350104821802935
ALLEGHENY,0.17244062720759312,0.2639070595007588,0.32502576472452366,0.20627392326842275,0.1802684400229395,0.24997174396262672,0.17324864948827257
ARMSTRONG,-0.5317983171352163,-0.4272841421079843,-0.24818391211906454,-0.5294608579535971,-0.5203379953379954,-0.40946831755280405,-0.5021276595744681
BEAVER,-0.19375944880914026,-0.08777653175655015,0.08083718295553322,-0.17912167181662553,-0.17847519416706298,-0.1047860573031889,-0.19770370169785267
BEDFORD,-0.6857352243824633,-0.5492772667542707,-0.48700358259013643,-0.6811477803738317,-0.7112250712250712,-0.5664442743082139,-0.6333224007871434
BERKS,-0.10389973895112048,-0.21515973278655998,-0.10820981350115466,-0.08311166603333153,-0.12312230779271638,-0.14713424353732063,-0.20452511466607004
BLAIR,-0.47420563916147135,-0.4146203462713591,-0.3821319764567017,-0.4396110705093578,-0.4923381528376287,-0.4390033013677095,-0.5347921914357683
BRADFORD,-0.4802937576499388,-0.5189818809318378,-0.3839853566220954,-0.4571948998178506,-0.5044203081586258,-0.4654480225506108,-0.5174388339406559
BUCKS,0.008143720524649956,-0.018921869722652085,0.03781207473395254,0.044238533560838456,-0.031104389547732314,-0.026772620667383118,-0.06527484565357272
BUTLER,-0.3853696297251967,-0.34441479772120864,-0.26070481986845984,-0.3294179695531301,-0.3735538590430289,-0.30751119523567705,-0.3747423516061048
CAMBRIA,-0.38267484662576684,-0.1396984073195527,-0.010721395061872085,-0.377497672419967,-0.3785996484850305,-0.25845426932163346,-0.3838551362328651
CAMERON,-0.49905660377358485,-0.40529100529100526,-0.27558587956096114,-0.47276507276507274,-0.5283018867924529,-0.42041522491349476,-0.5472679965307892
CARBON,-0.35431193323458215,-0.2830152488731179,-0.13998278459220997,-0.3244969273406435,-0.3255739795918367,-0.2550203835120037,-0.3419900115251633
CENTRE,0.02506840606948396,0.012817469736529752,0.13205002045487207,0.04818977586455048,-0.03983954280690183,0.03224119902405015,-0.022582243072350572
CHESTER,0.09917919595338948,0.008821440586102458,0.09188413478606533,0.17304791645896112,0.05569734274133009,0.06668666052569572,0.02471887636275305
CLARION,-0.49278888954834116,-0.5014921131163848,-0.33471571351553103,-0.5141254673867885,-0.5379426644182124,-0.4628244610646723,-0.5471991125901277
CLEARFIELD,-0.5050102619823735,-0.33614693239546695,-0.23283595345945463,-0.5023664986109682,-0.5268137095902259,-0.399418942475305,-0.5075541037158025
CLINTON,-0.3574427739401327,-0.2925737224023468,-0.14983202687569985,-0.36773155596414614,-0.3829582380551209,-0.2989690721649485,-0.33694537999707136
COLUMBIA,-0.3366990867918925,-0.36304831210834854,-0.2048008020996137,-0.31230819458047665,-0.3275372358850017,-0.3009531703273933,-0.3651196212697607
CRAWFORD,-0.38978808610045057,-0.36605806644717154,-0.23826201611075626,-0.3769013812887207,-0.40968489696105154,-0.26324006244746007,-0.38787842165689773
CUMBERLAND,-0.18931483027866491,-0.2885281068694847,-0.16034753614824787,-0.10732340434685961,-0.20120201134566823,-0.16122531949870078,-0.19964365256124722
DAUPHIN,0.030604687462669977,-0.19009279475982538,-0.07198859586600137,0.08649091071661935,-0.004736302192085817,-0.03532387148300359,-0.08098886026829022
DELAWARE,0.23166324734698973,0.00857935706504881,0.06153889501780513,0.2704712960256035,0.1859264395246465,0.1016733357584576,0.055085250148793896
ELK,-0.4447326704136043,-0.21288515406162462,-0.08327017809776427,-0.4572080182451086,-0.4642789583201967,-0.3135883724119018,-0.42236969445596567
ERIE,-0.0165593454108528,-0.09460366823338168,0.09864695478123875,0.010484258813954372,-0.03238314986620522,0.14549152945019372,-0.09497981076357503
FAYETTE,-0.31681132937414347,-0.11099212935696312,0.07479562236286919,-0.3369979406852492,-0.2974274315586738,-0.13334501489398987,-0.22060001780468258
FOREST,-0.4577739281074058,-0.41496598639455784,-0.257002991569214,-0.44214559386973185,-0.472278429785512,-0.36870748299319733,-0.48700410396716826
FRANKLIN,-0.48046346288281055,-0.5341538130810985,-0.4243762613706163,-0.43710695771147406,-0.4916455160744501,-0.45768554819521423,-0.5010856289862939
FULTON,-0.7238873751135331,-0.5854922279792747,-0.5463044113350861,-0.725629030218738,-0.7512925891555085,-0.6495921696574225,-0.6917021974417843
GREENE,-0.41530232861522404,-0.15737755258713343,0.025863696431942584,-0.4384219554030875,-0.38561284347020686,-0.23149686820912696,-0.3203155308418466
HUNTINGDON,-0.5230389323806022,-0.45892309937253756,-0.3832238987694047,-0.5161290322580645,-0.5625145844028563,-0.4562492943434571,-0.5392422192151556
INDIANA,-0.366871704745167,-0.3213294611164892,-0.15741380634262464,-0.37951526164575305,-0.38892185444131994,-0.2884905752277045,-0.3897390621934471
JEFFERSON,-0.6125676679757988,-0.49979307490688374,-0.3910373066424022,-0.597367367812514,-0.6316229006216942,-0.525178429817605,-0.614885762745685
JUNIATA,-0.639191598969685,-0.6435296693671995,-0.46772697150430753,-0.6214081666946731,-0.6384031089913442,-0.5692814494543956,-0.6330351570626169
LACKAWANNA,0.03585839967319937,-0.03840546697038727,0.2294707057942847,0.08446971353597199,0.10807376239021771,0.18570413239922834,0.10210016826273915
LANCASTER,-0.20445226565126834,-0.30554955733103006,-0.22299503193754439,-0.16069927840727966,-0.23355453901166157,-0.24129924031192007,-0.27289890935752914
LAWRENCE,-0.28955042219235744,-0.23988341354300818,-0.07937897180257997,-0.2988261108063632,-0.2789220494138527,-0.19066102775042,-0.2917711553041349
LEBANON,-0.36268872524294693,-0.48478115974227953,-0.34802576555690873,-0.3226440994579907,-0.37933296557482143,-0.3751674000382628,-0.417433831990794
LEHIGH,0.049247164772214136,-0.028041744442558914,0.08025808213566377,0.07685144099875646,0.03227192992646466,0.019166260700118343,-0.03823698248463381
LUZERNE,-0.20007015456881633,-0.22678086291845095,0.002416663967086674,-0.14529452839883533,-0.117250245463343,-0.13135145777030055,-0.19770648860502255
LYCOMING,-0.46471519312598925,-0.47345808129345923,-0.35906108262285885,-0.41912960142385297,-0.4437538954679014,-0.4730226176249281,-0.5023591204486779
MERCER,-0.25480836167631327,-0.17046759639048403,-0.11757819535330488,-0.263520363572802,-0.29472614759397797,-0.2376140110478311,-0.32197688459548046
MIFFLIN,-0.5685270713927995,-0.5707671957671958,-0.4446833930704899,-0.5672448643820807,-0.5995634487548367,-0.5572309801233721,-0.6105336105336105
MONROE,0.007904433614644046,-0.10334250530019395,0.013537598119146066,0.06443118401662118,0.04570426651081244,0.03164144522482082,-0.025087514585764303
MONTGOMERY,0.222894227256556,0.14277993947254647,0.2234755768119483,0.2654627691491194,0.1863435105446234,0.20418620060541975,0.1625106307502695
MONTOUR,-0.2984653161448742,-0.35070140280561124,-0.19460842188114919,-0.21560062402496105,-0.2629395064424547,-0.23052959501557635,-0.29782209393859876
McKEAN,-0.48595146871008943,-0.44384814152256014,-0.4102166354640278,-0.4684323027996455,-0.5195327566257093,-0.4532148457919498,-0.5137493389740877
NORTHAMPTON,-0.0395919077154947,-0.03147416875014608,0.030129566763141158,0.00729840595237391,-0.02589017289713702,0.01835374269521045,-0.026810450117668083
NORTHUMBERLAND,-0.44410052534431355,-0.3856575566456435,-0.21169249521156192,-0.39095342189339166,-0.4038123838851704,-0.3272681324235532,-0.4127947849428006
PERRY,-0.5424733306993283,-0.6348104644954617,-0.47523457067025526,-0.5091366580043724,-0.5619549261721786,-0.5570442549736094,-0.5934493346980552
PHILADELPHIA,0.6860501203135803,0.6085112819866381,0.6787582434428543,0.6395530392516258,0.6373492395081313,0.6496171660837509,0.5936190828367744
PIKE,-0.2686472819216182,-0.20121228093292925,-0.14622052580886807,-0.1921692727724001,-0.22916666666666669,-0.21393905640862437,-0.25119846596356665
POTTER,-0.6552363299351252,-0.5570149253731342,-0.49670886075949366,-0.61494701617401,-0.6622524317356147,-0.5645083932853716,-0.5971084337349397
SCHUYLKILL,-0.4480920175741719,-0.37170082432125845,-0.17350680070963925,-0.40437943619069516,-0.39372514361467076,-0.3200426508126272,-0.43436855712275424
SNYDER,-0.49106631906911685,-0.5165625591519969,-0.38669404961357623,-0.48023077330228126,-0.5268431954318984,-0.5028830818304502,-0.54556741991557
SOMERSET,-0.5755430873255647,-0.43255131964809385,-0.3144148772218227,-0.5685942173479561,-0.5952993786236123,-0.4845866666666667,-0.5872472451053814
SULLIVAN,-0.5067412035514633,-0.49118046132971505,-0.3455181800505542,-0.4796610169491526,-0.47990401919616077,-0.4213903743315508,-0.4931731294374659
SUSQUEHANNA,-0.4312201620961474,-0.47139773340528873,-0.35654175928866305,-0.4183649675884904,-0.4518904567579527,-0.4131965159288868,-0.453443258971872
TIOGA,-0.5545532400799316,-0.6492256174131437,-0.5074656739121732,-0.5211866454075469,-0.5757792174667142,-0.6404347256776222,-0.6951878707976269
UNION,-0.2643732888941792,-0.3165378670788253,-0.19991483925910153,-0.24612979678281482,-0.2998791445536231,-0.2700120786208411,-0.3060585736642074
VENANGO,-0.4349305866547246,-0.43975123088883133,-0.3174001748761294,-0.41997400015294023,-0.46779303062302,-0.3496117695136902,-0.44048474889596384
WARREN,-0.4160708205652026,-0.410602568324004,-0.2937990544820306,-0.40245283948185,-0.4399535669058674,-0.31871964130028646,-0.4433066933066933
WASHINGTON,-0.25651942522618415,-0.13122794940194477,-0.01813082570320873,-0.23037006691246753,-0.24690008600917435,-0.1647764644914393,-0.2350661606730518
WAYNE,-0.3972131429554447,-0.47034764826175873,-0.32762487257900097,-0.3394422883426764,-0.3708758649692243,-0.35633946830265845,-0.4092544987146529
WESTMORELAND,-0.32267822987553285,-0.1649718058701624,-0.06010458430876592,-0.28707616124775753,-0.2930026069225409,-0.21827838742132477,-0.30092783626696223
WYOMING,-0.39737507906388364,-0.45478374836173,-0.3036402104920523,-0.35737704918032787,-0.3969609261939218,-0.39499036608863203,-0.46094215861657717
YORK,-0.3045084546211152,-0.39553196351044945,-0.24539019279328306,-0.24960506201910176,-0.3051941381143166,-0.27861523197016247,-0.3263491377758578
