county,Murphy,guadagno,Murphy,Ciattarelli,DemShare17,DemShare21,DemShareDiff,DemMargin17,DemMargin21,DemMarginDiff,DemVoteDelta,RepVoteDelta
Atlantic,36952,28456,34004,43431,0.5649,0.4391,-0.1258,8496,-9427,"-17,923",-2948,14975
Bergen,129265,94904,140654,126424,0.5766,0.5266,-0.0500,34361,14230,"-20,131",11389,31520
Burlington,70453,52191,81222,70511,0.5745,0.5353,-0.0392,18262,10711,"-7,551",10769,18320
Camden,81268,37113,88355,53666,0.6865,0.6221,-0.0644,44155,34689,"-9,466",7087,16553
Cape May,13566,16118,13950,23828,0.4570,0.3693,-0.0878,-2552,-9878,"-7,326",384,7710
Cumberland,15686,11876,13556,17248,0.5691,0.4401,-0.1290,3810,-3692,"-7,502",-2130,5372
Essex,129470,30633,125617,43864,0.8087,0.7412,-0.0675,98837,81753,"-17,084",-3853,13231
Gloucester,42349,32448,44250,53849,0.5662,0.4511,-0.1151,9901,-9599,"-19,500",1901,21401
Hudson,88271,19236,84484,29405,0.8211,0.7418,-0.0793,69035,55079,"-13,956",-3787,10169
Hunterdon,17697,26708,22330,32962,0.3985,0.4039,0.0053,-9011,-10632,"-1,621",4633,6254
Mercer,59992,30645,62742,33353,0.6619,0.6529,-0.0090,29347,29389,42,2750,2708
Middlesex,100847,70940,109195,85756,0.5870,0.5601,-0.0269,29907,23439,"-6,468",8348,14816
Monmouth,79432,101525,94021,137621,0.4390,0.4059,-0.0331,-22093,-43600,"-21,507",14589,36096
Morris,65507,77203,77675,99779,0.4590,0.4377,-0.0213,-11696,-22104,"-10,408",12168,22576
Ocean,56582,98135,67176,143148,0.3657,0.3194,-0.0463,-41553,-75972,"-34,419",10594,45013
Passaic,57415,36230,53768,51615,0.6131,0.5102,-0.1029,21185,2153,"-19,032",-3647,15385
Salem,7814,8629,6776,12376,0.4752,0.3538,-0.1214,-815,-5600,"-4,785",-1038,3747
Somerset,45935,44231,54572,51998,0.5094,0.5121,0.0026,1704,2574,870,8637,7767
Sussex,15431,25401,16984,35628,0.3779,0.3228,-0.0551,-9970,-18644,"-8,674",1553,10227
Union,79113,39552,81525,50112,0.6667,0.6193,-0.0474,39561,31413,"-8,148",2412,10560
Warren,10065,17409,12495,23332,0.3663,0.3488,-0.0176,-7344,-10837,"-3,493",2430,5923